song,word_0,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9
In My Blood,"('blood', 10)","('feel', 8)","('help', 7)","('sometimes', 6)","('somebody', 6)","('giving', 6)","('need', 5)","('walls', 4)","('caving', 4)","('someone', 3)"
Nervous,"('little', 33)","('get', 27)","('think', 17)","('yeah', 14)","('excited', 11)","('bit', 10)","('baby', 7)","('talk', 6)","('self-conscious', 6)","('much', 6)"
Lost In Japan,"('get', 28)","('mind', 18)","('tonight', 16)","('lost', 10)","('let', 8)","('got', 8)","('could', 7)","('thinking', 6)","('seem', 6)","('plans', 5)"
Where Were You In The Morning?,"('walk', 8)","('morning', 8)","('baby', 8)","('away', 8)","('without', 4)","('warning', 4)","('said', 4)","('number', 4)","('left', 4)","('leave', 4)"
Fallin' All In You,"('free', 6)","('falling', 6)","('baby', 6)","('yeah', 5)","('love', 5)","('mine', 4)","('anytime', 4)","('wrong', 3)","('underneath', 3)","('trapped', 3)"
Particular Taste,"('particular', 12)","('yeah', 10)","('goes', 8)","('obsessed', 7)","('right', 6)","('got', 6)","('taste', 5)","('place', 4)","('waste', 3)","('time', 3)"
Why,"('get', 7)","('put', 6)","('hell', 6)","('know', 5)","('want', 4)","('nothing', 4)","('say', 3)","('ready', 3)","('pretend', 3)","('met', 3)"
Because I Had You,"('somebody', 5)","('time', 4)","('nothin', 4)","('could', 4)","('tell', 3)","('something', 3)","('new', 3)","('might', 3)","('loving', 3)","('help', 3)"
Queen,"('queen', 11)","('made', 9)","('ugly', 7)","('making', 7)","('look', 7)","('beautiful', 7)","('yeah', 5)","('way', 4)","('think', 4)","('ruler', 4)"
Mutual,"('want', 16)","('way', 4)","('tell', 3)","('say', 3)","('reciprocate', 3)","('need', 3)","('mutual', 3)","('leave', 3)","('know', 3)","('involved', 3)"
Perfectly Wrong,"('wrong', 17)","('perfectly', 17)","('yeah', 10)","('oh', 7)","('know', 6)","('leave', 4)","('hard', 4)","('much', 3)","('hate', 3)","('break', 3)"
When You're Ready,"('waitin', 13)","('ready', 12)","('tell', 8)","('baby', 8)","('around', 8)","('even', 6)","('somebody', 5)","('know', 5)","('years', 4)","('yeah', 4)"
There's Nothing Holdin' Me Back,"('nothing', 12)","('holding', 12)","('back', 12)","('right', 8)","('know', 8)","('baby', 8)","('take', 7)","('confessing', 4)","('tear', 3)","('shaking', 3)"
Ruin,"('ever', 10)","('ruin', 7)","('happiness', 7)","('tryna', 6)","('one', 6)","('know', 6)","('darling', 6)","('mind', 5)","('cross', 5)","('said', 4)"
Mercy,"('mercy', 17)","('please', 10)","('heart', 9)","('would', 8)","('even', 6)","('begging', 6)","('though', 5)","('take', 4)","('got', 4)","('baby', 4)"
Treat You Better,"('better', 17)","('know', 11)","('treat', 9)","('time', 5)","('tell', 5)","('wasting', 3)","('wasted', 3)","('want', 3)","('promise', 3)","('let', 3)"
Three Empty Words,"('words', 8)","('three', 8)","('empty', 8)","('saying', 6)","('keep', 6)","(""'cause"", 5)","('wo', 4)","('na', 4)","('know', 4)","('gon', 4)"
Don't Be A Fool,"('fool', 9)","('know', 8)","('na', 7)","('yeah', 5)","('hear', 5)","('darling', 5)","(""'cause"", 5)","('wait', 4)","('say', 4)","('stand', 3)"
Like This,"('guess', 6)","('going', 6)","('try', 5)","('lost', 5)","('truth', 4)","('thought', 4)","('strong', 4)","('stop', 4)","('hide', 4)","('hands', 4)"
No Promises,"('please', 13)","('baby', 13)","('promises', 12)","(""'cause"", 6)","('know', 4)","('keep', 4)","('wo', 3)","('oh', 3)","('consequences', 3)","('yeah', 2)"
Lights On,"('na', 18)","('love', 11)","('lights', 11)","('see', 9)","('get', 9)","('way', 8)","('night', 8)","('move', 8)","('lost', 8)","('inch', 8)"
Honest,"('trying', 16)","('honest', 13)","('oh', 11)","('need', 5)","('promise', 4)","('know', 4)","('hurt', 4)","('hate', 4)","('got', 4)","('give', 4)"
Patience,"('say', 12)","('yeah', 7)","('patience', 7)","('losing', 7)","('love', 6)","(""'cause"", 6)","('tell', 5)","('know', 5)","('driving', 5)","('crazy', 5)"
Bad Reputation,"('know', 9)","('got', 9)","('bad', 9)","('nobody', 7)","('way', 6)","('said', 6)","('let', 6)","('knows', 6)","('reputation', 5)","('underneath', 4)"
Understand,"('understand', 12)","('na', 11)","('yeah', 7)","('really', 7)","('ta', 5)","('need', 5)","('got', 5)","('time', 4)","('praying', 4)","('know', 4)"
Hold On,"('hold', 12)","('know', 6)","('ta', 5)","('much', 5)","('got', 5)","('wo', 3)","('stay', 3)","('slow', 3)","('shawn', 3)","('says', 3)"
Roses,"('let', 12)","('know', 7)","('tell', 5)","('heart', 5)","('got', 5)","('feel', 5)","('die', 5)","('wrong', 4)","('worried', 4)","('trying', 4)"
Life Of The Party,"('party', 8)","('life', 8)","(""'cause"", 8)","('time', 7)","('sorry', 7)","('baby', 7)","('care', 6)","('say', 5)","('people', 5)","('love', 5)"
Stitches,"('stitches', 9)","('needing', 9)","('without', 8)","('kisses', 8)","('thread', 7)","('needle', 7)","('got', 6)","('head', 5)","('get', 5)","('ta', 4)"
Never Be Alone,"('never', 14)","('alone', 13)","('take', 3)","('piece', 3)","('make', 3)","('know', 3)","('heart', 3)","('apart', 3)","('things', 2)","('talk', 2)"
Kid In Love,"('oh', 66)","('got', 17)","('love', 16)","('maybe', 13)","('yeah', 11)","('na', 11)","('grow', 10)","('ever', 10)","('kid', 9)","('alright', 8)"
I Don't Even Know Your Name,"('know', 12)","('running', 8)","('name', 8)","('even', 8)","('stop', 4)","('face', 4)","('smile', 3)","('remember', 3)","('kill', 3)","('everyday', 3)"
Something Big,"('ah', 72)","('oh', 29)","('wah', 22)","('something', 15)","('big', 11)","('happening', 9)","('feel', 9)","('air', 8)","('hands', 5)","('woah', 4)"
Strings,"('strings', 16)","('attached', 12)","('girl', 9)","('want', 8)","('get', 8)","(""'cause"", 6)","('let', 5)","('back', 5)","('wo', 4)","('know', 4)"
Aftertaste,"('one', 9)","('remember', 5)","('memory', 5)","('leave', 5)","('aftertaste', 5)","('takes', 4)","('replace', 4)","('permanent', 4)","('kiss', 4)","('erase', 4)"
Air,"('air', 69)","('time', 9)","('trying', 7)","('hard', 6)","('mean', 5)","('suffocating', 4)","('stringing', 4)","('spare', 4)","('harm', 4)","('coming', 4)"
Crazy,"('need', 9)","('know', 5)","('feeling', 5)","('wait', 4)","('think', 4)","('guess', 4)","('crazy', 4)","('thought', 3)","('someone', 3)","('making', 3)"
A Little Too Much,"('much', 11)","('little', 10)","('sometimes', 8)","('gets', 8)","('would', 7)","('know', 5)","('got', 5)","('afraid', 5)","('ta', 4)","('soon', 4)"
This Is What It Takes,"('takes', 8)","(""'cause"", 5)","('walls', 4)","('one', 4)","('let', 4)","('way', 3)","('trying', 3)","('pain', 3)","('break', 3)","('bear', 3)"
Bring It Back,"('back', 8)","('bring', 6)","('know', 3)","('go', 3)","('yeah', 2)","('worse', 2)","('used', 2)","('thinking', 2)","('things', 2)","('something', 2)"
Imagination,"('say', 6)","('craving', 6)","('us', 5)","('time', 5)","('na', 5)","('imagination', 5)","('wait', 4)","('words', 3)","('want', 3)","('true', 3)"
The Weight,"('weight', 13)","('lift', 13)","('tell', 7)","('back', 7)","('yeah', 5)","('want', 5)","('try', 5)","('time', 5)","('heart', 5)","('breaks', 5)"
I Know What You Did Last Summer,"('know', 80)","('ah-ah', 24)","('tell', 13)","('seem', 13)","('mean', 13)","('summer', 12)","('last', 12)","('he-ey', 12)","('though', 10)","('let', 9)"
The Way I Am,"('way', 25)","(""i'ma"", 21)","('tell', 16)","(""'em"", 16)","('love', 8)","('hate', 8)","('either', 8)","('could', 8)","('get', 7)","('maybe', 6)"
Attention,"('doin', 20)","('knew', 13)","('want', 10)","('round', 9)","('huh', 8)","('attention', 7)","('runnin', 6)","('know', 6)","('yeah', 4)","('ya', 4)"
How Long,"('baby', 14)","('yeah', 10)","('long', 10)","('goin', 10)","('shady', 8)","('ooh-oh', 8)","('ta', 6)","('said', 6)","('lately', 6)","('got', 6)"
Done For Me (feat. Kehlani),"('baby', 36)","('tell', 16)","('done', 16)","('oh', 14)","('wo', 7)","('honestly', 7)","('things', 4)","('say', 4)","('lie', 4)","('die', 4)"
Patient,"('please', 14)","('patient', 12)","('na', 8)","('baby', 8)","('trust', 6)","('know', 5)","('wait', 4)","('need', 4)","('gon', 4)","('another', 4)"
If You Leave Me Now (feat. Boyz II Men),"('leave', 11)","('baby', 9)","('oh', 7)","('walk', 4)","('things', 4)","('take', 4)","('right', 4)","('part', 4)","('give', 4)","('biggest', 4)"
BOY,"('boy', 22)","('treat', 18)","('baby', 8)","('dare', 6)","('young', 5)","('wanted', 5)","('tell', 5)","('na', 5)","('beside', 5)","(""'cause"", 5)"
Slow It Down,"('slow', 13)","('got', 12)","('girl', 8)","('ta', 7)","('oh', 5)","('want', 4)","('though', 4)","('even', 4)","('tryna', 3)","('give', 3)"
Change (feat. James Taylor),"('get', 9)","('know', 7)","('change', 7)","('another', 6)","('yeah', 5)","('one', 5)","('got', 5)","('along', 5)","('wrong', 4)","('supposed', 4)"
Somebody Told Me,"('girl', 10)","('noticed', 9)","('somebody', 6)","('believed', 6)","('believe', 6)","('one', 5)","('maybe', 5)","('love', 4)","('half', 4)","('got', 4)"
Empty Cups,"('oh', 25)","('na', 11)","('empty', 10)","('cups', 10)","('one', 9)","('party', 8)","('hands', 8)","('body', 8)","('let', 7)","('room', 6)"
Through It All,"('yeah', 11)","('ooh-ooh', 6)","('wo', 4)","('tomorrow', 4)","('see', 4)","('never', 4)","('knows', 4)","('god', 4)","('crying', 4)","('comes', 4)"
One Call Away,"('one', 11)","('call', 11)","('away', 10)","(""c'mon"", 6)","('superman', 5)","('save', 5)","('nothing', 5)","('got', 5)","('day', 5)","('na', 4)"
Dangerously,"('loved', 9)","('dangerously', 9)","('oh', 6)","('love', 4)","('would', 3)","('speed', 3)","('ruined', 3)","('knew', 3)","('going', 3)","('explosion', 3)"
Marvin Gaye (feat. Meghan Trainor),"('marvin', 11)","('let', 11)","('get', 11)","('gaye', 11)","('got', 8)","('say', 7)","('dawn', 7)","('trouble', 6)","('song', 6)","('want', 5)"
Losing My Mind,"('mind', 23)","('losing', 14)","('yeah', 12)","('run', 11)","('lose', 11)","('time', 9)","('oh', 9)","('nothing', 8)","('enough', 7)","('much', 6)"
We Don't Talk Anymore (feat. Selena Gomez),"('anymore', 23)","('talk', 19)","('oh', 11)","('used', 9)","('love', 9)","('way', 5)","('known', 5)","('shame', 4)","('overdosed', 4)","('na', 4)"
My Gospel,"('love', 21)","('make', 10)","('wo', 6)","('nothing', 6)","('crazy', 6)","('baby', 5)","('throw', 4)","('need', 4)","('know', 4)","('afraid', 4)"
Up All Night,"('night', 8)","('crime', 8)","('reeling', 5)","('play', 5)","('hang', 5)","('games', 5)","('dry', 5)","('yesterday', 4)","('things', 4)","('said', 4)"
Left Right Left,"('left', 48)","('right', 34)","('one', 7)","('step', 6)","('almost', 6)","('times', 3)","('regrets', 3)","('moving', 3)","('know', 3)","('got', 3)"
Then There's You,"('beautiful', 16)","('know', 5)","('girls', 5)","('words', 4)","('wearing', 2)","('way', 2)","('walk', 2)","('say', 2)","('room', 2)","('remains', 2)"
Suffer,"('make', 18)","('suffer', 13)","('baby', 5)","('na', 4)","('love', 4)","('waiting', 3)","('wait', 3)","('sucker', 3)","('lover', 3)","('keep', 3)"
As You Are (feat. Shy Carter),"('love', 11)","('never', 10)","('could', 10)","('always', 9)","('baby', 8)","('take', 7)","('judge', 7)","('would', 5)","('times', 4)","('climb', 4)"
Some Type Of Love,"('type', 16)","('love', 16)","('wo', 6)","('give', 4)","('every', 4)","('world', 3)","('single', 3)","('said', 3)","('reason', 3)","('move', 3)"
Like To Be You feat. Julia Michaels,"('know', 15)","(""'cause"", 5)","('sorry', 4)","('could', 4)","('still', 3)","('shoes', 3)","('say', 3)","('put', 3)","('moment', 3)","('dying', 3)"
Youth feat. Khalid,"('youth', 21)","('away', 21)","('take', 20)","('never', 10)","('wo', 8)","('wake', 8)","('today', 8)","('soul', 8)","('mine', 8)","('long', 8)"
Mercy - Acoustic,"('mercy', 17)","('please', 10)","('would', 8)","('heart', 8)","('even', 6)","('begging', 6)","('though', 5)","('take', 4)","('got', 4)","('baby', 4)"
LA Girls,"('baby', 30)","('miss', 22)","('ooh-ooh-ooh', 20)","('la', 17)","('girls', 17)","('messing', 10)","('world', 5)","('ooh-ooh-ooh-ooh-ooh', 5)","('weather', 3)","('tiffany', 3)"
River,"('run', 71)","('river', 70)","('oh', 8)","('love', 7)","('view', 3)","('things', 3)","('rivers', 3)","('mind', 3)","('maybe', 3)","('looking', 3)"
Does It Feel,"('feel', 20)","('gon', 8)","('never', 7)","('got', 6)","('better', 6)","('nothing', 5)","('missing', 5)","('loved', 5)","('find', 5)","('different', 5)"
Nothing But Trouble - Instagram Models Dance Remix,"('trouble', 6)","('nothing', 6)","('models', 6)","('instagram', 6)","('going', 6)","('wanted', 5)","('said', 4)","('open', 4)","('oh', 4)","('lord', 4)"
